gauche-gauche;style-gauche-gauche;gauche-centre;style-gauche-centre;gauche-droite;style-gauche-droite;centre-gauche;style-centre-gauche;centre-centre;style-centre-centre;centre-droite;style-centre-droite;droite-gauche;style-droite-gauche;droite-centre;style-droite-centre;droite-droite;style-droite-droite;style-ligne;commentaire
;;;;;;Belgium Assistant Editors;;;;BENJAMIN DURFORT;;;;;;;;;
;;;;;;;;;;CHARLOTTE BROSSEAU;;;;;;;;;
;;;;;; Additional Belgium Assistant Editor;;;;JULIETTE KERGOAT;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Los Angeles Editing Facilities;;;;HULA POST PRODUCTION;;;;;;;;;
;;;;;;Facilities Manager;;;;MICHAEL MONCRIEFF;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Dublin Editing & ADR Facilities;;;;OUTER LIMITS POST PRODUCTION;;;;;;;;;
;;;;;;Post Production Coordinator;;;;SARAH CARAHER;;;;;;;;;
;;;;;;Recording Mixer - Temp Mix;;;;PETER BLANEY;;;;;;;;;
;;;;;;Colourist - Temp Grade;;;;GARY CURRAN;;;;;;;;;
;;;;;;ADR Recordist;;;;SINEAD HEGARTY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Dublin Screening & ADR Facilities;;;;WINDMILL LANE PICTURES DUBLIN;;;;;;;;;
;;;;;;Post Production Coordinators;;;;AARON CARROLL;;;;;;;;;
;;;;;;;;;;RENATA FITZPATRICK;;;;;;;;;
;;;;;;ADR Recordist;;;;MICK CREEDON;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Dublin Mixing Facility;;;;ARDMORE SOUND;;;;;;;;;
;;;;;;Sound Assistant;;;;AISLING ROWE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Brussels Editing Facilities;;;;LA NOTTE STUDIO;;;;;;;;;
;;;;;;Music Editing Facilities ;;;;GALAXY STUDIOS, BELGIUM;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Belgium Co-Producer;;;;SAGA FILM;;;;;;;;;
;;;;;;Producers;;;;HUBERT TOINT;;;;;;;;;
;;;;;;;;;;JENNIFER RITTER;;;;;;;;;
;;;;;;Accountant ;;;;AMIR DIBADJ;;;;;;;;;
;;;;;;Lawyer;;;;PIERRE-EMMANUEL MOUTHUY;;;;;;;;;
;;;;;;Production Assistants;;;;FLAVIA BIURRUN;;;;;;;;;
;;;;;;;;;;CATHERINE SALMON;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Post Production Supervision;;;;SLM MEDIA;;;;;;;;;
;;;;;;Managing Director;;;;THOMAS FOURNET-OBERLÉ;;;;;;;;;
;;;;;;Post Production Coordinator;;;;CHARLOTTE DULIÈRE;;;;;;;;;
;;;;;;Technical Director;;;;BENJAMIN DURFORT;;;;;;;;;
;;;;;;;;;;;; ;;;;;;;
;;;;;;Sound Editing, Foley & Mixing Facilities;;;;LA NOTTE STUDIO;;;;;;;;;
;;;;;;Sound FX Editor;;;;RENAUD GUILLAUMIN ;;;;;;;;;
;;;;;;Dialogue Editor/ADR Supervisor ;;;;HELENA REVEILLERE;;;;;;;;;
;;;;;;Assistant Sound Editor;;;;VALERIE LEDOCTE;;;;;;;;;
;;;;;;Foley Artist;;;;OLIVIER THYS;;;;;;;;;
;;;;;;Foley Sound Engineer;;;;ALEXIS OSCARI;;;;;;;;;
;;;;;;Foley Editor;;;;VALERIE LEDOCTE;;;;;;;;;
;;;;;;Recording Equipment Rental ;;;;ANTI-STATIK;;;;;;;;;
;;;;;;;;;;RONALD VOLGLAIRE;;;;;;;;;
;;;;;;;;;;ANTOINE FRANCOIS;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Picture Lab & Grading DI Facilities;;;;STUDIO L'EQUIPE;;;;;;;;;
;;;;;;Image Supervisor;;;;DOMINIQUE MARCEL;;;;;;;;;
;;;;;;Colour Grading Assistants ;;;;MATHIEU CAUVILLE;;;;;;;;;
;;;;;;;;;;ALDO MULONE;;;;;;;;;
;;;;;;;;;;GEOFFREY DINE;;;;;;;;;
;;;;;;;;;;AZAE POUSSIER;;;;;;;;;
;;;;;;Technical Assistance;;;;VINCENT CARTON;;;;;;;;;
;;;;;;;;;;EDOUARD JEANJEAN;;;;;;;;;
;;;;;;Video Deliveries;;;;ANTON SCHRAEPEN;;;;;;;;;
;;;;;;;;;;MARIE BINET;;;;;;;;;
;;;;;;Audio Deliveries;;;;DAMIEN DEVILLE;;;;;;;;;
;;;;;;Subtitling;;;;DANIEL CRAESSAERTS;;;;;;;;;
;;;;;;;;;;NADIA CARRE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;VFX;;;;BENUTS;;;;;;;;;
;;;;;;VFX Producer;;;;MICHEL DENIS;;;;;;;;;
;;;;;;VFX Supervisor;;;;RONALD GRAUER;;;;;;;;;
;;;;;;Head of Production;;;;THOMAS VANTHUYNE;;;;;;;;;
;;;;;;Head of 2D;;;;FRÉDÉRIC VANMEERBEECK;;;;;;;;;
;;;;;;Coordination;;;;MIKLOS KELETI;;;;;;;;;
;;;;;;;;;;KEVIN SZMIR;;;;;;;;;
;;;;;;Lead compositing;;;;NATACHA BROHAN;;;;;;;;;
;;;;;;Compositing;;;;ANNE-SOPHIE BERTRAND;;;;;;;;;
;;;;;;;;;;LANDER CAYETANO;;;;;;;;;
;;;;;;;;;;BEN DEKEYSER;;;;;;;;;
;;;;;;;;;;TANIA JAMIE GONZALEZ;;;;;;;;;
;;;;;;;;;;ANTOINE JASPAR;;;;;;;;;
;;;;;;;;;;DAVID KLEIN ;;;;;;;;;
;;;;;;;;;;CHRISTOPHER LELOUP;;;;;;;;;
;;;;;;;;;;WARD LETEN;;;;;;;;;
;;;;;;;;;;MAXIME POTTIER;;;;;;;;;
;;;;;;;;;;LAURENT RAVICINI;;;;;;;;;
;;;;;;;;;;AURÉLIE TAPPONNIER;;;;;;;;;
;;;;;;Matte Painting;;;;VALENTIN ASTIER;;;;;;;;;
;;;;;;Head of 3D;;;;TRISTAN LILIEN;;;;;;;;;
;;;;;;3D Coordination;;;;BRIEUC CORNET D'ELZIUS;;;;;;;;;
;;;;;;3D Tracking;;;;FABRICE LAROCHE;;;;;;;;;
;;;;;;Data Wrangler;;;;MAXIME BADCOCK;;;;;;;;;
;;;;;;;;;;AURÉLIEN JACQUES;;;;;;;;;
;;;;;;Technical Support;;;;KEVIN LEMAIRE;;;;;;;;;
;;;;;;;;;;FRANÇOIS THOORENS;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Art Agency;;;;GERBER & STAUFFER FINE ARTS, ZURICH;;;;;;;;;
;;;;;;Featured Painting;;;;PORTRAIT OF MRS. GARY (VERONICA) COOPER;;;;;;;;;
;;;;;;;;;;BY RUFINO TAMAYO, 1954;;;;;;;;;
;;;;;;;;;; Courtesy of the Fernando J. Servije Collection, Los Angeles;;;;;;;;;
;;;;;;;; ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;Music;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Score composed & produced by;;;;DIEGO BALDENWEG with NORA BALDENWEG & LIONEL BALDENWEG;;;;;;;;;
;;;;;;Orchestral arrangements;;;;DIEGO BALDENWEG;;;;;;;;;
;;;;;;Assistant to the composers & session preparation;;;;PABLO JÓKAY;;;;;;;;;
;;;;;;Music copying & score proofreading;;;;MICHELINO BISCEGLIA;;;;;;;;;
;;;;;;Music copying;;;;NICOLAS DE COCK;;;;;;;;;
;;;;;;Recording Studio (Composers);;;;GREAT GARBO STUDIO, SWITZERLAND;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Recording Studio (Orchestra & Choir);;;;GALAXY STUDIOS, BELGIUM;;;;;;;;;
;;;;;;Galaxy Studios founder & CEO;;;;WILFRIED VAN BAELEN;;;;;;;;;
;;;;;;Production manager;;;;MARK VANHERCK;;;;;;;;;
;;;;;;Accounting;;;;CINDY MERMANS;;;;;;;;;
;;;;;;Marketing & support;;;;SARA BERCKMANS;;;;;;;;;
;;;;;;Household supervisor;;;;ISABELLE PERMENTIER;;;;;;;;;
;;;;;;Household assistant;;;;VICKY VERBOVEN;;;;;;;;;
;;;;;;Orchestra;;;;GALAXY SYMPHONIC ORCHESTRA;;;;;;;;;
;;;;;;Choir;;;;MEMBERS OF VLAAMS RADIOKOOR;;;;;;;;;
;;;;;;Orchestra contractor;;;;MARK STEYLAERTS;;;;;;;;;
;;;;;;Copyist;;;;RAPHAEL D. THÖNE;;;;;;;;;
;;;;;;Score recording engineer;;;;PATRICK LEMMENS;;;;;;;;;
;;;;;;Pro Tools operator;;;;NICK BENOY;;;;;;;;;
;;;;;;Score editing engineer;;;;VALENTIN COUINEAU;;;;;;;;;
;;;;;;Additional score editing engineer;;;;BENJAMIN GUT;;;;;;;;;
;;;;;;Studio & music production assistance;;;;LOTTE CAUBERGH;;;;;;;;;
;;;;;;Score mixing engineer;;;;BENJAMIN GUT;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Score conducted by;;;;MAESTRO DIRK BROSSÉ;;;;;;;;;
;;;;;; ;;;;;;;;;;;;;
;;1st + 2nd Violins;Base souligner UHD;;;;;Cello;Base souligner UHD;;;;;Trumpet;Base souligner UHD;;;espace_3colonnes 100;
;;Lei Wang (Concertmaster);;;;;;Hans Vandaele;;;;;;Diego Hernandez;;;;espace_3colonnes 100;
;;Véronique Gilis;;;;;;Françis Mouray;;;;;;Ward Dierick;;;;espace_3colonnes 100;
;;Jan Homa;;;;;;Joyce Kuypers;;;;;;;;;;espace_3colonnes 100;
;;Karel Ingelaere;;;;;;Corentin Fouré;;;;;;Trombone;Base souligner UHD;;;espace_3colonnes 100;
;;Saartje Demuynck;;;;;;Shiho Nishimura;;;;;;Bram Fournier;;;;espace_3colonnes 100;
;;Eva Vermeeren;;;;;;Diego Coutinho;;;;;;Joachim van Bockstael;;;;espace_3colonnes 100;
;;Katrien De Biévre;;;;;;Herwig Coryn;;;;;;Geert Devos (+Bass Trombone);;;;espace_3colonnes 100;
;;Lev Adamov;;;;;;;;;;;;;;;;espace_3colonnes 100;
;;Valeryia Hrablink ;;;;;;Double Bass;Base souligner UHD;;;;;Tuba ;Base souligner UHD;;;espace_3colonnes 100;
;;Jolanta Iwaniuk;;;;;;Jan Buysschaert;;;;;;Dieter Verschuren (+Cimbasso);;;;espace_3colonnes 100;
;;Eline Pauwels;;;;;;Thomas Fiorini;;;;;;;;;;espace_3colonnes 100;
;;Anton Skakun;;;;;;Simon Luce;;;;;;Harp;Base souligner UHD;;;espace_3colonnes 100;
;;Elizaveta Rybentseva;;;;;;Julita Fasseva;;;;;;Karen Peeters;;;;espace_3colonnes 100;
;;Alissa Vaitsner;;;;;; ;;;;;;;;;;espace_3colonnes 100;
;;Aline Janaczek;;;;;;Oboe;Base souligner UHD;;;;;;;;;espace_3colonnes 100;
;;Floris uyterhoeven;;;;;;Joost Gils;;;;;;CHOIR;;;;espace_3colonnes 100;
;;Aymeric Devilloutray;;;;;;Maarten Wijnen (EH);;;;;;;;;;espace_3colonnes 100;
;;Bram Van Eeno;;;;;;;;;;;;Soprano;Base souligner UHD;;;espace_3colonnes 100;
;;Bart Lemmens;;;;;;Flute;Base souligner UHD;;;;;Evi Roelandts;;;;espace_3colonnes 100;
;;Eric Baeten ;;;;;;Wouter Van Den Eynde;;;;;;Sarah Vanmol;;;;espace_3colonnes 100;
;;Nicolas Stevens;;;;;;Lieve Goossens;;;;;;Kristien Nijs;;;;espace_3colonnes 100;
;;Akram Ben Romdhane;;;;;;Maaike Cottyn (Alt);;;;;;;;;;espace_3colonnes 100;
;;Olivier Lemmens;;;;;;;;;;;;Alto;Base souligner UHD;;;espace_3colonnes 100;
;;Bert Van Laethem;;;;;;Clarinet;Base souligner UHD;;;;;Lieve Mertens;;;;espace_3colonnes 100;
;;Veerle Houbraken;;;;;;Maria Del Mar Rabago;;;;;;Sandra Paelinck;;;;espace_3colonnes 100;
;;Anna Buevich ;;;;;;Marija Pavlovic;;;;;;Kerlijne van Nevel;;;;espace_3colonnes 100;
;;;;;;;;Léolun Planchon (bas);;;;;;;;;;espace_3colonnes 100;
;;Viola;Base souligner UHD;;;;;;;;;;;Tenor;Base souligner UHD;;;espace_3colonnes 100;
;;Philippe Allard;;;;;;Bassoon;Base souligner UHD;;;;;Paul Foubert;;;;espace_3colonnes 100;
;;Kris Hellemans;;;;;;Remy Roux;;;;;;Paul Schils;;;;espace_3colonnes 100;
;;Morgan Huet;;;;;;Adrien Goldschmidt;;;;;;Michiel Haspeslach;;;;espace_3colonnes 100;
;;Patrick Heselmans;;;;;;Kristien Pieters (CB);;;;;;;;;;espace_3colonnes 100;
;;Lisbeth Lannie;;;;;;;;;;;;Bass;Base souligner UHD;;;espace_3colonnes 100;
;;Marc Pijpops;;;;;;French Horn;Base souligner UHD;;;;;Marc Meersman;;;;espace_3colonnes 100;
;;Marina Barskaya;;;;;;Michaela Buzkova;;;;;;Paul Mertens;;;;espace_3colonnes 100;
;;Saar Vanbergen;;;;;;Henk Veldt;;;;;;Lieven Deroo;;;;espace_3colonnes 100;
;;Armen Nazarian;;;;;;Jelle Soen;;;;;;;;;;espace_3colonnes 100;
;;;;;;;;Francesc Saez Catalayud;;;;;; ;;;;espace_3colonnes 100;
;;;;;;;;;;;;;; ;;;;espace_3colonnes 100;
;;Solo Timpani;Base souligner UHD;;;;;Solo Viola;Base souligner UHD;;;;;Solo Cello;Base souligner UHD;;;espace_3colonnes 100;
;;Tom Ouderits;;;;;;Armen Nazarian;;;;;;Herwig Coryn;;;;espace_3colonnes 100;
;;;;;;;;;;;;;;;;;;espace_3colonnes 100;
;;Solo Irish Violin;Base souligner UHD;;;;;Solo Piano;Base souligner UHD;;;;;Percussion;Base souligner UHD;;;espace_3colonnes 100;
;;Emile Verstraeten;;;;;;Michelino Bisceglia;;;;;;Dominic Whalley;;;;espace_3colonnes 100;
;;;;;;;;;;;;;;;;;;espace_3colonnes 100;
;;Solo Harmonica;Base souligner UHD;;;;;Mandoline, Bass, Guitars, Percussion, Synths;Base souligner UHD;;;;;;;;;espace_3colonnes 100;
;;Pfuri Baldenweg;;;;;;Diego Baldenweg;;;;;;;;;;espace_3colonnes 100;
;;performed on the Seydel 1847 models:;;;;;;;; ;;;;;;;;espace_3colonnes 100;
;;Lightning, Classic, Noble, Symphony 64 & Volcany;;;;;;;; ;;;;;;;;espace_3colonnes 100;
;;;;;; ;; ;;;;;;;;;;;
;;;;;;;;Composers Wish To Thank:;;;;;;;;;;;
;;;;;;;;John Powell, Mychael Danna, Marie-Claire Baldenweg, Deborah Schmidlin, Clément Lesnoff-Rocard, ;;;;;;;;;;;
;;;;;;;;Vera Riemeier, Gisela Heinz, Carsten Magnus, Christian Herren, Daniel Dettwiler, Lars Seifert, ;;;;;;;;;;;
;;;;;;;;Bertram Becher, Keith Zajic and C.A. Seydel Söhne Harmonicas.;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;FACING EAST ENTERTAINMENT;Base souligner UHD;;;;;;;;;;
;;;;;;President LA/ Publicity;;;;RICHARD SANKEY;;;;;;;;;
;;;;;;CFO;;;;GRANT CUPIDO;;;;;;;;;
;;;;;;Accountant;;;;DOMINIQUE RITTER-KOCHENDöRFER;;;;;;;;;
;;;;;;Legal Counsel;;;;CHEYENNE ZOE BARMETTLER;;;;;;;;;
;;;;;;Assistants to Producers;;;;NICOLE MARBOT;; ;;;;;;;
;;;;;;;;;;LAURIC BARMETTLER;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;MERLIN FILMS;Base souligner UHD;;;;;;;;;;
;;;;;;Associate Producer;;;;AMY CORRIGAN;;;;;;;;;
;;;;;;Director of Business Affairs;;;;CARRIE GEISSEL;;;;;;;;;
;;;;;;Accountant;;;;JOE BINCHY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;PRODUCTION FINANCING PROVIDED BY CITY NATIONAL BANK ;Base souligner UHD;;; ;;;;;;;
;;;;;;Sr Credit Officer;;;;KRISTEN BRAINARD;;;;;;;;;
;;;;;;Sr Credit Officer;;;;NORMAN B. STARR;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;ADDITIONAL PRODUCTION FINANCING BY GREAT POINT MEDIA AND ILLIUM;Base souligner UHD;;;;;;;;;;
;;;;;;Group Chief Executive Officer;;;;JIM REEVE;;;;;;;;;
;;;;;;Group Chief Operating Officer;;;;KOK-YEE YAU;;;;;;;;;
;;;;;;Managing Director, Investments;;;;LAURA MACARA;;;;;;;;;
;;;;;;Associate Director, Investments;;;;MARIYAH DOSANI;;;;;;;;;
;;;;;;Associate, Investments;;;;PHILIPPA NICHOLL;;;;;;;;;
;;;;;;Head of Legal and Business Affairs;;;;STEPHEN DAILEY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;ADDITIONAL PRODUCTION FINANCING PROVIDED BY BNP PARIBAS FORTIS FINANCE;Base souligner UHD;;;;;;;;;;
 ;;;;;;Associate Producers;;;;DAVID CLAIKENS;;;;;;;;;
;;;;;;;;;;ALEX VERBAERE;;;;;;;;;
;;;;;;Co-Producer;;;;BNPPFFF;;;;;;;;;
;;;;;;BNP Paribas Fortis Film Finance thanks to;;;;Investors of the May, October, November and;; ;;;;;;;
;;;;;;;;;;December Slates 2022 and Guy Pollentier & team;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;; COMPLETION BOND PROVIDED BY MEDIA GUARANTORS INSURANCE SOLUTIONS  LLC;Base souligner UHD;;;;;;;;;;
;;;;;;President & CEO;;;;FRED MILSTEIN;;;;;;;;;
;;;;;;Senior Vice President;;;;SCOTT NICOLAIDES;;;;;;;;;
;;;;;;Post Production Supervisor;;;;PHIL DAWE;;;;;;;;;
;;;;;;Chief Legal & Business Affairs Officer;;;;ERICA FISHKIN;;;;;; ;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;PRODUCTION AND BANK COUNSEL;Base souligner UHD;;;;;;;;;;
;;;;;;Gipson Hoffman & Pancione;;;;ROBERT STEINBERG;;;;;;;;;
;;;;;;Marc Jacobson PC;;;;MARC JACOBSON;;;;;;;;;
;;;;;;Loeb & Loeb LLC;;;;PAUL SWANSON;;;;;;;;;
;;;;;;;;;;DAVID MANELLA;;;;;;;;;
;;;;;;;;;;RONNI FRANCOIS;;;;;;;;;
;;;;;;Matheson Solicitors;;;;RUTH HUNTER;;;;;;;;;
;;;;;;;;;;NICOLE MITCHEL;;;;;;;;;
;;;;;;Philip Lee Solicitors;;;;JONATHAN KELLY;;;;;;;;;
;;;;;;;;;;AOIFE MCBENNETT;;;;;;;;;
;;;;;;;;;;MARY HENNESSY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;IRISH TAX ADVISORS;Base souligner UHD;;;;;;;;;;
;;;;;;Clancy & Associates;;;;ELAINE GILL;;;;;;;;;
;;;;;;Saffery Champness Ireland;;;;JOHN GLEESON;;;;;;;;;
;;;;;;;;;;MICHELLE MCHUGH;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Original score published by;;;;FE GLOBAL LLC & GREAT GARBO-BALDENWEG MUSIC PUBLISHING - ©? 2023;;;;;;;;;
;;;;;;Traditional music recorded & performed by;;;;COLM MAC CON IOMAIRE;;;;;;;;;
;;;;;;Music Rights Clearances / Source Music Supervisor;;;;MOUNIR HATHOUT;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;IT'S ALL IN THE GAME;Petit UHD;;;;;THE LIVERPOOL HORNPIPE;Petit UHD;;;;;DÁLAIGH'S POLKA;Petit UHD;;;espace_3colonnes 400;
;;Written by …;Petit UHD;;;;;Traditional;Petit UHD;;;;;Traditional;Petit UHD;;;espace_3colonnes 400;
;;Courtesy of Record Label…;Petit UHD;;;;;Arranged and performed by;Petit UHD;;;;;Arranged and performed by;Petit UHD;;;espace_3colonnes 400;
;;Performed by TOMMY EDWARDS;Petit UHD;;;;;COLM MAC CON IOMAIRE;Petit UHD;;;;;COLM MAC CON IOMAIRE;Petit UHD;;;espace_3colonnes 400;
;;;Petit UHD;;;;;;Petit UHD;;;;;;Petit UHD;;;espace_3colonnes 400;
;;LONE RANGER;Petit UHD;;;;;CARRICKFERGUS;Petit UHD;;;;;GET DOWN;Petit UHD;;;espace_3colonnes 400;
;;Written by D. Baldenweg, N. Baldenweg, L. Baldenweg;Petit UHD;;;;;Traditional;Petit UHD;;;;;Performed by GILBERT O'SULLIVAN;Petit UHD;;;espace_3colonnes 400;
;;Courtesy of Great Garbo Music;Petit UHD;;;;;Performed by MARK O'REGAN;Petit UHD;;;;;Words and Music by Gilbert O'Sullivan;Petit UHD;;;espace_3colonnes 400;
;;Performed by GALAXY SYMPHONIC ORCHESTRA;Petit UHD;;;;;;Petit UHD;;;;;(P) 1973 Grand Upright Music Limited, under exclusive licence to ;Petit UHD;;;espace_3colonnes 400;
;;feat. PFURI BALDENWEG;Petit UHD;;;;;SIOBHAN O'DONNELL'S/THE CONNACHTMAN'S RAMBLES;Petit UHD;;;;;Union Square Music Limited, a BMG Company;Petit UHD;;;espace_3colonnes 400;
;;;Petit UHD;;;;;Traditional;Petit UHD;;;;;© 1973 Grand Upright  Music Limited (PRS);Petit UHD;;;espace_3colonnes 400;
;;MARLENA SHAW - CALIFORNIA SOUL;Petit UHD;;;;;Arranged and performed by;Petit UHD;;;;;All Rights Administered by BMG Rights Management (US) LLC;Petit UHD;;;espace_3colonnes 400;
;;by Nickolas Ashford, Valerie Simpson;Petit UHD;;;;;COLM MAC CON IOMAIRE;Petit UHD;;;;;Courtesy of BMG Rights Management GmbH;Petit UHD;;;espace_3colonnes 400;
;;(P) 1969 UMG Recordings, Inc.;Petit UHD;;;;;;Petit UHD;;;;;;Petit UHD;;;espace_3colonnes 400;
;;with kind permission of Universal Music GmbH (Switzerland);Petit UHD;;;;;THE CLIFFS OF MOHER/PADDY IN LONDON/THE GOLD RING;Petit UHD;;;;;THE BROKEN PLEDGE/THE FOXHUNTER'S REEL ;Petit UHD;;;espace_3colonnes 400;
;;© Jobete Music Co. Inc.  ;Petit UHD;;;;;Traditional;Petit UHD;;;;;Traditional;Petit UHD;;;espace_3colonnes 400;
;;Courtesy of EMI Music Publishing Germany GmbH;Petit UHD;;;;;Arranged and performed by;Petit UHD;;;;;Arranged and performed by COLM MAC CON IOMAIRE;Petit UHD;;;espace_3colonnes 400;
;;;Petit UHD;;;;;COLM MAC CON IOMAIRE;Petit UHD;;;;;Violin  DARACH MAC CON IOMAIRE;Petit UHD;;;espace_3colonnes 400;
;;OVER THE OCEAN;Petit UHD;;;;;;;;;;;;;;;espace_3colonnes 400;
;;Written by D. Baldenweg, N. Baldenweg, L. Baldenweg;Petit UHD;;;;;;;;;;;;;;;espace_3colonnes 400;
;;Courtesy of Great Garbo Music;Petit UHD;;;;;;;;;;;;;;;espace_3colonnes 400;
;;Performed by GALAXY SYMPHONIC ORCHESTRA;Petit UHD;;;;;;;;;;;;;;;espace_3colonnes 400;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;US Sales Agents;;;;;;;;;;;
;;;;;;;;CAA MEDIA FINANCE and UTA INDEPENDENT FILM GROUP;;;;;;;;;;;
;;;;;;;;International Sales Agent;;;;;;;;;;;
;;;;;;;;BLEIBERG ENTERTAINMENT;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; ;;;;;;;;;
;;;;;;;;SPECIAL THANKS TO;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;Rosa Pang,  Angels Costumes,  Donegal Film Office,  Donegal County Council,;;;;;;;;;;;
;;;;;;;;ESB Networks Donegal,  Garda Síochána Killybegs & Ardara,  Kilcar GAA Club,;;;;;;;;;;;
;;;;;;;;Roarty's Pub Glencolumcille,  Glencolumcille GAA Club,;;;;;;;;;;;
;;;;;;;;The Communities of Glencolumcille, Ardara, Malinbeg & Meenanery in Donegal,;;;;;;;;;;;
;;;;;;;;Glencolumcille Folk Village,  St. Columba's Church of Ireland Glencolumcille, ;;;;;;;;;;;
;;;;;;;;Dublin City Council Events,  Margaret Cunningham,  Donna Dupuy;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;; ;;;
;;;;;;;;;;;;;;;; ;;;
;;;;;;;;;;;;;;;; ;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;Produced with the support of incentives for the Irish Film Industry provided by the Government of Ireland;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;Filmed on location in Ireland in Donegal and Dublin;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;Produced with the support of the Tax Shelter of the Belgium Federal Government;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;<image> google-petit.png;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;<image> coca-cola-logo.png;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;This motion picture is protected under the laws of the Unites States and other countries. ;;;;;;;;; taille 16;;
