gauche-gauche;style-gauche-gauche;gauche-centre;style-gauche-centre;gauche-droite;style-gauche-droite;centre-gauche;style-centre-gauche;centre-centre;style-centre-centre;centre-droite;style-centre-droite;droite-gauche;style-droite-gauche;droite-centre;style-droite-centre;droite-droite;style-droite-droite;style-ligne;commentaire
;;;;;;Standby Rigger;;;;GERRY FARRELL;;;;;;;;;
;;;;;;Standby Painter;;;;DAMIEN BARRY;;;;;;;;;
;;;;;;Standby Stagehand;;;;MICHAEL FARRELL;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Camera Operator/Steadicam;;;;MATT FISHER;;;;;;;;;
;;;;;;1st Camera Assistant;;;;SIMON CULLITON;;;;;;;;;
;;;;;;2nd Camera Assistant;;;;HOWARD JONES;;;;;;;;;
;;;;;;Camera Trainees;;;;OISIN GALLAGHER;;;;;;;;;
;;;;;;;;;;LEAH O'TOOLE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Video Assist/Streaming;;;;DARRAGH FLYNN;;;;;;;;;
;;;;;;Video Assist Trainee;;;;ZACH MCPARLAND;;;;;;;;;
;;;;;;DIT;;;;OLAYA CHESNEAU;;;;;;;;;
;;;;;;DIT Assistant;;;;STEPHEN DOLAN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Drones;;;;COUNTERPOINT FILMS;;;;;;;;;
;;;;;;Drone Pilot Operators;;;;ROMAN BUGOVSKIY;;;;;;;;;
;;;;;;;;;;ALEX WULF;;;;;;;;;
;;;;;;Drone Camera Operators;;;;DAVID QUALTER;;;;;;;;;
;;;;;;;;;;EVAN BARRY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Key Grip;;;;RICHIE EGAN;;;;;;;;;
;;;;;;Grip Trainee;;;;MICHAEL NARDONE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Gaffer;;;;SIMON MAGEE;;;;;;;;;
;;;;;;Best Boy;;;;DONAL LAFFERTY;;;;;;;;;
;;;;;;Genny Operator;;;;CATHAL CAMPBELL;;;;;;;;;
;;;;;;Electricians;;;;JOE O'NEILL;;;;;;;;;
;;;;;;;;;;PETER O'TOOLE;;;;;;;;;
;;;;;;;;;;BILLY DOYLE;;;;;;;;;
;;;;;;;;;;CON DEMPSEY JNR;;;;;;;;;
;;;;;;;;;;JOHN MARTIN O'FLATHARTA;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Script Supervisor;;;;EVA KELLY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Sound Mixer;;;;DANIEL BIRCH;;;;;;;;;
;;;;;;Boom Operator;;;;RICHARD HETHERINGTON;;;;;;;;;
;;;;;;2nd Sound Assistant;;;;NAOISE MEEGAN;;;;;;;;;
;;;;;;Sound Trainee;;;;MEGAN NELSON;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Production Coordinator;;;;BERNIE MCGRATH;;;;;;;;;
;;;;;;Assistant Production Coordinator;;;;ELLEN HYDE;;;;;;;;;
;;;;;;Travel & Accommodation Coordinator;;;;MOLLY JERMYN;;;;;;;;;
;;;;;;Production Trainees;;;;AISLING KING SWORDS;;;;;;;;;
;;;;;;;;;;RACHEL DOHERTY;;;;;;;;;
;;;;;;;;;;MURROUGH MCDERMOTT;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Production Accountant;;;;JAMES CULLEN;;;;;;;;;
;;;;;;1st Assistant Accountant;;;;GRACE KELLY;;;;;;;;;
;;;;;;;;;;SASHA KING;;;;;;;;;
;;;;;;2nd  Assistant Accountant;;;;PAT COLGAN;;;;;;;;;
;;;;;;Petty Cash;;;;LAURA RIGNEY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
